ISBN,bookname,authors,publisher,total_loans,best_rank,class_no,category
9791164137879 ,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,23797,205,691,비문학
9788934938224 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,23791,172,400,비문학
9791130689890 ,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ,비욘 나티코 린데블라드 지음 ;박미경 옮김,다산북스,23756,206,220.4,비문학
9791168410541 ,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,23717,209,691,비문학
9791130641607 ,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,23589,161,710,비문학
9791198682505 ,나를 소모하지 않는 현명한 태도에 관하여 ,마티아스 뇔케 지음 ;이미옥 옮김,퍼스트펭귄,23448,125,189.2,비문학
9788930041683 ,허송세월 :김훈 산문 ,지은이: 김훈,나남,23391,123,814.62,문학
9788936447014 ,아홉 살 마음 사전 ,박성우 글 ;김효은 그림,창비,23362,226,181,비문학
9791192300245 ,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche ,장재형 지음,유노콘텐츠그룹,23327,131,165.77,비문학
9791168417656 ,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,23315,167,388,비문학
9791168340541 ,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,23237,162,843.6,문학
9791168416628 ,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,23236,181,980.2,비문학
9791164138715 ,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,23160,226,691,비문학
9788954655972 ,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,23086,198,816.62,문학
9791164137053 ,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,23059,175,833.6,문학
9791168417984 ,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,23041,134,472,비문학
9791130649672 ,흐르는 강물처럼,"셸리 리드 (지은이), 김보람 (옮긴이)",다산책방,23022,172,None,비문학
9791168122369 ,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,22997,221,408,비문학
9791130622590 ,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,22950,201,813.7,문학
9791196232160 ,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,22816,188,911,비문학
9791164136223 ,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,22772,211,816.7,문학
9791168411692 ,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,22750,249,691,비문학
9791168418844 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,22748,35,810,문학
9788964963678 ,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,22711,227,843,문학
9791196025847 ,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,22694,192,911,비문학
9791166686665 ,저주토끼 (리커버),정보라 (지은이),아작,22612,213,None,비문학
9788954688796 ,가녀장의 시대 :이슬아 장편소설 ,지은이: 이슬아,문학동네,22512,156,813.7,문학
9788970128337 ,달리기를 말할 때 내가 하고 싶은 이야기 =What I talk about when I talk about running ,무라카미 하루키 지음 ;임홍빈 옮김,문학사상,22491,201,834,문학
9791140707492 ,(처음부터 시작하는) 주식투자 단타전략 =Stock investment ,홍인기 지음,길벗,22486,216,327.856,비문학
9791196025861 ,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,22470,194,911,비문학
9791164134090 ,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,22384,197,833.6,문학
